corps_name,cont_grant,prog_serv,invest_inc,other_rev,total_rev,grant_paid,benefit_paid,salaries,prof_fund,other_exp,total_exp,net_income,total_assets,total_liab,net_assets
Santa Clara Vanguard,1355929,54896,-880,2859159,4269104,0,0,1073344,0,1589053,2662397,1606707,3121648,511178,2610470
Bluecoats,1080748,1303820,179637,1362150,3926355,0,0,694514,0,3588792,4283306,-356951,3885957,2256073,1629884
Carolina Crown,1629884,1865829,2269,844330,2937873,5357,0,656647,0,2814489,3476493,-538620,2846712,1105019,1741693
Phantom Regiment,812402,1426969,14343,268443,2522157,0,0,135954,0,2559977,2695931,-173774,1922368,600357,1322011
Boston Crusaders,2418052,1463788,-25591,403880,4260129,0,0,1223283,0,3242802,4466085,-205956,3284492,2093215,1191277
Blue Devils,258718,6176394,-3751,3482696,9914057,7000,0,3986214,0,7409729,11402943,-1488886,7075441,4743094,2332347
Mandarins,502069,1916404,81,34554,2453108,0,0,738588,0,1842440,2581028,-127920,2452917,2498120,-45203
Blue Stars,420391,1136735,93552,81764,1732442,0,0,602121,0,1431253,2033374,-300932,1574924,656471,918453
Colts,467557,1375459,9330,174566,2026912,0,0,465209,0,1715899,2181108,-154196,1540725,237813,1302912
Troopers,891210,456229,6517,195845,1549801,0,0,96950,0,1571384,1668334,-118533,1982952,538161,1444791
Cavaliers,606116,1800083,8181,76641,2491021,12064,0,333424,0,2222188,2567676,-76655,984888,131711,853177
Madison Scouts,151013,1096793,22570,153481,1423857,0,0,271539,0,1261387,1532926,-109069,1368216,1016220,351996
Pacific Crest,616900,1324710,40175,159887,2141672,0,0,427859,0,1501650,1929509,212163,1502351,625782,876569
Blue Knights,607888,1732573,0,97634,2438095,0,0,376003,0,2726858,3102861,-664766,777586,449715,327871
Crossmen,384052,1101016,17017,370819,1872904,8900,0,167368,0,1484709,1660977,211927,983387,796683,186704
Music City,124493,850866,43419,46420,1065198,0,0,104734,0,906468,1011202,53996,82096,120405,-38309
The Academy,197416,989469,5294,155883,1348062,0,0,198529,0,1238158,1436687,-88625,1189981,292532,897449
Spartans,602051,0,0,431273,1033324,0,0,0,0,1083287,1083287,-49963,403242,153084,250158
Genesis,0,859775,0,0,859775,0,0,39747,0,847124,886871,-27096,618336,640434,-22098
Seattle Cascades,151145,624771,0,9030,784946,0,0,0,0,695396,695396,89550,137685,50039,87646
Columbians,374156,0,0,7062,381218,0,0,0,0,410579,410579,-29361,381750,164550,217200
Jersey Surf,43860,509644,0,48315,601819,0,0,46196,0,755744,801940,-200121,204636,536554,-331918
The Battalion,102415,462972,11028,29021,605436,0,0,70532,0,533100,603632,1804,217742,6974,210768
River City Rhythm,118561,289582,0,43343,451486,250,0,0,0,525741,525991,-74505,49103,53181,-4078
Raiders,7881,181183,0,19795,208859,0,0,0,0,271603,271603,-62744,21279,76102,-54823
7th Regiment,16561,11868,0,-91,28338,0,0,0,0,34850,34850,-6512,42068,0,42068
